,title,company,location,pay,rating,job
641,Business Analyst,CAPREIT,"Toronto, ON",,3.2,Data Analyst
642,newSustainability Reporting Analyst,Canfor,"Vancouver, BC",,3.4,Data Analyst
643,Analyst Revenue Management - Inventory,Porter Airlines Inc.,"Toronto, ON",,3.5,Data Analyst
644,newProduct Analyst,Lever,"Toronto, ON",,,Data Analyst
645,newSustainability Reporting Analyst,Canfor,"Vancouver, BC",,3.4,Data Analyst
646,Analyst Revenue Management - Inventory,Porter Airlines Inc.,"Toronto, ON",,3.5,Data Analyst
647,newProduct Analyst,Lever,"Toronto, ON",,,Data Analyst
648,Business Analyst,Sportlogiq,"Remote in Montréal, QC","$60,000–$110,000 a year",2.5,Data Analyst
649,Business Analyst,Segway Powersports Canada,"Baltimore, ON","$70,000–$80,000 a year",,Data Analyst
650,"newSenior Analyst, Data Analytics",EPCOR,"Edmonton, AB",$57.14–$68.15 an hour,3.4,Data Analyst
651,HRIS Analyst (Remote),Agero,"Remote in London, ON",,3.1,Data Analyst
652,Senior Data Analyst,Scotiabank,"Toronto, ON+1 location",,3.9,Data Analyst
653,Business System Analyst 1,Symcor,"Mississauga, ON",,3.9,Data Analyst
654,newAdvanced Analyst - SKATE,Electronic Arts,"Remote in Vancouver, BC",,3.8,Data Analyst
655,"Senior Analyst, Data Architecture",Laurentian Bank,"Toronto, ON",,3.6,Data Analyst
656,newIT Project Manager & Business Analyst,Town of Ajax,"Lake, ON","$76,131–$84,590 a year",4.5,Data Analyst
657,newMarket Research Analyst,Spark Power Corp,"Oakville, ON",,2.8,Data Analyst
658,"Senior Equity Analyst, Alternative Data","Nasdaq, Inc.","Hybrid remote in Toronto, ON",,,Data Analyst
659,Sr Bus Application Analyst,TD Bank,"Toronto, ON",,3.8,Data Analyst
660,Business Analyst with Sentry experience,Luxoft,Remote,,,Data Analyst
661,data warehouse analyst,1st Call Industrial Ltd.,"Mississauga, ON",$40.75 an hour,,Data Analyst
662,"Senior Data Quality and Management Analyst, Data Warehousing...",Questrade Financial Group,+1 locationRemote,,3.5,Data Analyst
663,Data Analyst - Salesforce,VGH & UBC Hospital Foundation,"Hybrid remote in Vancouver, BC","$72,083–$82,381 a year",3.7,Data Analyst
664,New Flyer - Data Analyst,NFI,"Winnipeg, MB",,,Data Analyst
665,Business Information Systems Analyst,TELUS,"Toronto, ON",,3.9,Data Analyst
666,Analyste de données / Data Analyst,Square Enix Montreal,"Montréal, QC",,3.9,Data Analyst
667,newBusiness Analyst,Teleperformance Canada,"Toronto, ON","$51,000 a year",3.5,Data Analyst
668,newIT Data Analyst Jr,Air Inuit,"Montréal, QC+1 location",,3.2,Data Analyst
669,Inventory Control Analyst,Progistix Solutions Inc,"North York, ON","From $55,000 a year",3.6,Data Analyst
670,newBusiness Systems Analyst Intermediate (Digital Commerce) | T...,TELUS,"Toronto, ON",,3.9,Data Analyst
671,Analyste de données | Data Analyst (Python),METRIO,"Montréal, QC",,,Data Analyst
672,newSenior Data Analyst,Sheertex,"Montréal, QC",,3.5,Data Analyst
673,newReporting Data Analyst - Power BI - InsightLens,Envision Sales Inc.,"Toronto, ON",,,Data Analyst
674,newSenior Group Risk Analyst,TD Bank,"Toronto, ON",,3.8,Data Analyst
675,Data Visualization & Reporting Specialist,BC Maritime Employers Association,"Vancouver, BC",,,Data Analyst
676,Market Data Analyst,S4 Market Data,"Remote in Toronto, ON",,,Data Analyst
677,"new[WB] Analyst, Supply Chain",fgf brands,"Greater Toronto Area, ON",,3.8,Data Analyst
678,newCMDB Asset Data Analyst,Emera Inc.,"Halifax, NS",,3.8,Data Analyst
679,Business Analyst,Cineplex,"Toronto, ON",,,Data Analyst
680,newMobility Data Analyst,City of Edmonton,"Edmonton, AB",$43.33–$54.74 an hour,3.7,Data Analyst
681,"Senior Associate, Data Analyst",Capital One,"Hybrid remote in Toronto, ON",,3.9,Data Analyst
682,Student ETRM Operations Analyst,Inter Pipeline,"Calgary, AB",,3.8,Data Analyst
683,"newSecurity Analyst, Data Protection and Compliance",Loblaw Companies Limited,"Brampton, ON",,3.5,Data Analyst
684,data analyst - informatics and systems,Methodhub Canada,"Remote in Mississauga, ON","$90,000–$110,000 a year",,Data Analyst
685,"Business Operations Analyst I, AWS Commerce Platform Busines...",Amazon Dev Centre Canada ULC,"Vancouver, BC",,3.5,Data Analyst
686,newIT Business Analyst,Flair Airlines Ltd.,"Remote in Calgary, AB",,3.0,Data Analyst
687,"Analyst, Business",EPCOR,"Edmonton, AB",$48.82–$60.95 an hour,3.4,Data Analyst
688,"Analyst, Private Equity Business Management",CPP Investments,"Toronto, ON",,,Data Analyst
689,Data and Automation Analyst,AbCellera Biologics,"Vancouver, BC",,,Data Analyst
690,FP & A Analyst,Invafresh,"Mississauga, ON",,,Data Analyst
691,Database Analyst,Islamic Centre of Markham,"Markham, ON",Up to $25 an hour,,Data Analyst
692,Senior Data Analyst,Electrical & Automation Industry Careers,"Toronto, ON",,,Data Analyst
693,database analyst,Supreme Wire Products Ltd.,"Brampton, ON",$40 an hour,,Data Analyst
694,"newBusiness Analyst, Loyalty Analytics",Royal Bank of Canada,"Toronto, ON",,4.0,Data Analyst
695,Senior Business Analyst (Online Brokerage),CIBC,"Hybrid remote in Toronto, ON",,3.8,Data Analyst
696,"Analyst, Pricing",Hudson's Bay,"Toronto, ON",,3.5,Data Analyst
697,newBUSINESS INTEGRATIONS ANALYST,Midland Transport,"Dieppe, NB",,3.8,Data Analyst
698,Business System Analyst,Aversan,"Vaughan, ON",,3.2,Data Analyst
699,Senior Data Analyst,Teranet,"Toronto, ON",,3.9,Data Analyst
700,Junior Asset Management Consultant and Data Analyst,GM BluePlan Engineering,"Vaughan, ON",,3.3,Data Analyst
701,"newSenior Analyst, Global Trade Advisory",Deloitte,Canada,,4.0,Data Analyst
702,newBusiness Rules Analyst,Scotiabank,"Ottawa, ON",,3.9,Data Analyst
703,newBusiness Analyst 2,Symcor,"Mississauga, ON",,3.9,Data Analyst
704,newData Governance Analyst,Appnovation Technologies,"Vancouver, BC",,4.0,Data Analyst
705,newSupply Chain Analyst,JBS Food Canada ULC.,"Belleville, ON",,3.1,Data Analyst
706,Sr. Data Science Analyst,University Health Network,"Toronto, ON","$71,195–$88,998 a year",4.1,Data Analyst
707,Test Analyst (1 Year Contract),BrokerLink,"Toronto, ON",,3.3,Data Analyst
708,newSenior Data Analyst,Veem,"Ottawa, ON",,3.3,Data Analyst
709,newBusiness Customer Development Analyst,DHL | Supply Chain,"Mississauga, ON",,3.7,Data Analyst
710,newSenior Data Integration and Extract Transformation and Load...,Government of Saskatchewan,"Regina, SK",$42.52–$51.74 an hour,3.8,Data Analyst
711,"Senior Analyst, Credit Risk Management",Manulife,"Toronto, ON",,4.0,Data Analyst
712,"Residential Market Studies Analyst, Economic Consulting",Altus Group,"Calgary, AB",,2.7,Data Analyst
713,Data and Automation Analyst,AbCellera,"Vancouver, BC",,,Data Analyst
714,Senior Data Analyst,Taking Root,"Remote in Vancouver, BC",,,Data Analyst
715,Business Analyst,GS1 Canada,"Toronto, ON",,2.8,Data Analyst
716,Financial/Data Analyst (Temporary),Rokstad Power,"Coquitlam, BC",,3.4,Data Analyst
717,"ESG Quantitative Analyst, AVP - Open to Hybrid and/or Remote...",State Street,"Remote in Toronto, ON",,3.5,Data Analyst
718,newData Business Analyst,Sanofi US,"Toronto, ON",,4.1,Data Analyst
719,Business Analyst – Data Modelling,AstraNorth,"Temporarily Remote in Toronto, ON","From $60,000 a year",,Data Analyst
720,"ESG Quantitative Analyst, AVP - Open to Hybrid and/or Remote...",State Street,"Remote in Toronto, ON",,3.5,Data Analyst
721,newData Business Analyst,Sanofi US,"Toronto, ON",,4.1,Data Analyst
722,Business Analyst – Data Modelling,AstraNorth,"Temporarily Remote in Toronto, ON","From $60,000 a year",,Data Analyst
723,Trade Floor Support Analyst (Excel),BMO Financial Group,"Toronto, ON",,3.8,Data Analyst
724,Senior Data Analyst,nugget.ai,"Toronto, ON+1 location",,,Data Analyst
725,"newStudy Analyst, Real World Solutions",IQVIA,"Kirkland, QC",,3.8,Data Analyst
726,Portfolio Valuations/ OTC Derivatives Market Data Analyst,S&P Global,Remote in Ontario,,3.9,Data Analyst
727,Revenue Management Analyst,Andrew Peller Limited,"Oakville, ON",,2.8,Data Analyst
728,"analyst, methods and cost",The Orb Factory Limited,"Halifax, NS",$30–$34 an hour,,Data Analyst
729,IT Data & Reporting Analyst,Saputo Inc.,"Montréal, QC",,3.3,Data Analyst
730,newPayroll Administrator and Analyst,Carizon,"Kitchener, ON",$25.93–$30.87 an hour,,Data Analyst
731,newAnalyst/Administrative Assistant,Vancouver Coastal Health,"Vancouver, BC+1 location",$25.63–$33.64 an hour,3.7,Data Analyst
732,"Analyst, Auto Benchmarking",J.D. Power,"Remote in London, ON",,,Data Analyst
733,newData Privacy Business Analyst,EVOLVIC,"Montréal, QC","$45,857–$94,572 a year",,Data Analyst
734,Data Management/Data Analyst,Sanofi US,"Hybrid remote in Toronto, ON",,4.1,Data Analyst
735,Digital Business Analyst,Shell,"Fort Saskatchewan, AB",,3.9,Data Analyst
736,Fall 2022 Co-op: DevOps Analyst,Rogers Communications,"Brampton, ON",,3.7,Data Analyst
737,Data Analyst,Dorigo Systems,"Burnaby, BC",,2.7,Data Analyst
738,Business Operations Analyst,GraceMed,"Oakville, ON",,,Data Analyst
739,Senior Data Quality Analyst,Home Trust Company,"Toronto, ON",,3.6,Data Analyst
740,Jira Business Systems Analyst,Geotab,"Remote in Oakville, ON",,2.7,Data Analyst
741,Business Intelligence Analyst,Wolseley,"Burlington, ON",,3.0,Data Analyst
742,Data Analyst (3-6 Month Contract),Mircom Group of Companies,"Vaughan, ON",,3.1,Data Analyst
743,"Client Service Analyst, YouGov Canada",YouGov,"Toronto, ON",,,Data Analyst
744,Business Data Analyst,Kent Building Supplies,"Saint John, NB",,3.4,Data Analyst
745,"Senior Analyst, IAM Access Request Reporting & Analysis (GCS...",Royal Bank of Canada,"Toronto, ON",,4.0,Data Analyst
746,"Student, Cloud Analyst (Fall 2022, 4-Months)",OMERS,"Toronto, ON",,3.4,Data Analyst
747,Business Analyst,Accenture,"Toronto, ON+2 locations",,4.0,Data Analyst
748,Business Intelligence Data Analyst,HealthHub Solutions,"Mississauga, ON",,,Data Analyst
749,Process Improvement Analyst (Remote),Shutterstock,"Remote in Montréal, QC",,3.2,Data Analyst
750,Teaching Assistant - Data Analyst,Digital Nova Scotia,"Halifax, NS",$45 an hour,,Data Analyst
751,Database Security Analyst,BMO Financial Group,"Toronto, ON",,3.8,Data Analyst
752,Business Analyst,Waterloo Regional Police Service,"Cambridge, ON",,3.0,Data Analyst
753,Business Analyst III,Moneris Solutions,Remote in Ontario,,3.4,Data Analyst
754,Risk & Regulatory Analyst,Brookfield Properties,"Calgary, AB",,3.7,Data Analyst
755,Health Human Resources Research Analyst,Government of Saskatchewan,"Regina, SK",$41.17–$51.60 an hour,3.8,Data Analyst
756,Business Analyst - Non-IT - 5,Tundra Launchpad,Hybrid remote in Canada,,,Data Analyst
757,Data Analyst,Evercore,"Montréal, QC",,,Data Analyst
758,"newanalyst, business - computer systems",NU Ventures Solutions Ltd.,"Edmonton, AB",$47.62 an hour,,Data Analyst
759,Senior Content Analyst,Staples Canada,"Hybrid remote in Richmond Hill, ON",,3.6,Data Analyst
760,"Senior Analyst, Data Management and Delivery",JLL,"Toronto, ON",,3.7,Data Analyst
761,TML Data Analyst,Acuren Group Inc.,"Fort McMurray, AB",,3.3,Data Analyst
762,computer systems analyst,CIT Corp,"Concord, ON",$40 an hour,3.8,Data Analyst
763,Process Automation/Data Analyst,Sanofi US,"Toronto, ON",,4.1,Data Analyst
764,newEHS Analyst,AltaLink,"Calgary, AB",,4.0,Data Analyst
765,Sr. Business Program Analyst,TD Bank,"Toronto, ON",,3.8,Data Analyst
766,Data Analyst,University of Saskatchewan,"Remote in Saskatoon, SK","$64,107–$100,169 a year",4.2,Data Analyst
767,Sourcing Analyst,Spin Master Ltd,"Toronto, ON",,3.4,Data Analyst
768,Data Scientist Sr. Analyst - Mississauga-AVP/C12,Citi,"Mississauga, ON",,3.9,Data Analyst
769,Kinaxis Supply Chain Business Analyst,FAHM Technology Partners,Remote,,,Data Analyst
770,Business Operations Analyst,Healthcare of Ontario Pension Plan (HOOPP),"Hybrid remote in Toronto, ON",,3.8,Data Analyst
771,newData Analyst (ON),Tiger Analytics,Remote,,,Data Analyst
772,Data Analyst,Maverin Inc.,"Temporarily Remote in Ottawa, ON","From $75,000 a year",,Data Analyst
773,"Analyst, People Analytics",West Park Healthcare Centre,"Toronto, ON",,3.6,Data Analyst
774,Senior Data Analyst - Remote,League Inc.,"Remote in Toronto, ON",,,Data Analyst
775,Business System Analyst,BMO Financial Group,"Toronto, ON",,3.8,Data Analyst
776,ERP Business System Analyst,Geotab,"Remote in Oakville, ON",,2.7,Data Analyst
777,Business Analyst I,TELUS,"Vancouver, BC+1 location",,3.9,Data Analyst
778,Digital Analyst,StackPros Inc.,"Toronto, ON",,3.0,Data Analyst
779,newSales Operations Analyst,Tier1 Financial Solutions,Remote in Ontario,,3.8,Data Analyst
780,Digital Analyst,StackPros Inc.,"Toronto, ON",,3.0,Data Analyst
781,newSales Operations Analyst,Tier1 Financial Solutions,Remote in Ontario,,3.8,Data Analyst
782,Business Analyst (Store Systems) - Data & Integration,Pet Valu,"Markham, ON",,3.3,Data Analyst
783,Quality Assurance Analyst,Red River Mutual,"Winnipeg, MB",,4.0,Data Analyst
784,"Analyste de données | Data Analyst, Genuine",Autodesk,"Montréal, QC",,4.1,Data Analyst
785,Project Analyst / Business Analyst (Remote Anywhere Canada o...,Change Healthcare,Remote in Newfoundland and Labrador,,3.0,Data Analyst
786,Business System Analyst,TELUS,"Toronto, ON",,3.9,Data Analyst
787,newBusiness Analyst (Entry Level) - Cabela's Corporate,Bass Pro Shops & Cabela’s,"Winnipeg, MB",,3.5,Data Analyst
788,Business Analyst,Ingram Micro Inc.,"Mississauga, ON","$65,000–$70,000 a year",3.7,Data Analyst
789,newBusiness Analyst (data integration),Dawn InfoTek Inc.,"Toronto, ON",$45–$50 an hour,,Data Analyst
790,HR Data Analyst,Ledcor,"Vancouver, BC+2 locations",,3.7,Data Analyst
791,Underwriting Analyst - Property Operations,AIG,"Toronto, ON",,3.7,Data Analyst
792,"newAnalyst, Pharmaceuticals",Canadian Institute for Health Information,"Toronto, ON",,3.8,Data Analyst
793,newBusiness Analyst,Veriday Inc.,"Toronto, ON",,3.5,Data Analyst
794,newSr. Business Systems Analyst,CIBC,"Hybrid remote in Toronto, ON",,3.8,Data Analyst
795,Data Analyst (Business Intelligence Coordinator),Western University,"London, ON",,4.3,Data Analyst
796,newBusiness Systems Analyst II,CI Financial,"Remote in Toronto, ON",,3.1,Data Analyst
797,Business Development Analyst (Paid Internship),Avesdo,"Remote in Toronto, ON",$16 an hour,4.3,Data Analyst
798,newDigital Analyst,War Room Holdings,"Vancouver, BC",,,Data Analyst
799,"Sales Operations & Implementation Analyst (Mississauga, Cana...",Philips,"Hybrid remote in Mississauga, ON",,4.0,Data Analyst
800,"Analyst, Gas Control & Cash Trader",Tidewater Midstream & Infrastructure Ltd,"Calgary, AB",,,Data Analyst
801,Senior Data Analyst,CryptoKitties,"Vancouver, BC",,,Data Analyst
802,newBanking Business Process Analyst,CGI,"Toronto, ON",,3.6,Data Analyst
803,Senior Data Analyst,Ratehub,"Toronto, ON",,,Data Analyst
804,Business Technical Analyst (BTA) - Consulting - Systems Engi...,Deloitte,Canada,,4.0,Data Analyst
805,newSenior Business Systems Analyst,Canada Life Assurance Company,"London, ON",,3.7,Data Analyst
806,Data Analyst - Information and Systems,SRYAS INC.,"Toronto, ON","$85,000–$95,000 a year",,Data Analyst
807,newSenior Data Science Analyst,BCAA,Canada,,3.9,Data Analyst
808,newOptimization Analyst,MEVOTECH,"Mississauga, ON",,3.3,Data Analyst
809,"newBusiness Analyst, Planning & Performance Reporting",Teksavvy Solutions Inc.,"Toronto, ON+2 locations",,3.5,Data Analyst
810,newITSM Analyst,Extendicare Canada,"Markham, ON",,3.3,Data Analyst
811,Data Science/Sr. Analyst (Officer and AVP openings),Citi,"Mississauga, ON",,3.9,Data Analyst
812,Insights Analyst,Home Hardware Stores Limited,"St. Jacobs, ON",,3.8,Data Analyst
813,Business Analyst (intern),Islamic Family and Social Services Association,"Temporarily Remote in Edmonton, AB",$15–$19 an hour,,Data Analyst
814,Senior Business Analyst Consultant,"RightCrowd Software, Inc","Kitchener-Waterloo, ON","$85,000–$110,000 a year",,Data Analyst
815,Business Intelligence Engineer,Temple Insurance Company,"Toronto, ON",,,Data Analyst
816,"Business Systems Analyst, Reporting",Hudson's Bay,"Toronto, ON",,3.5,Data Analyst
817,newBUSINESS ANALYST,Boardwalk,"Calgary, AB",,3.0,Data Analyst
818,newBudget Analyst,Innovapost,"Toronto, ON",,3.6,Data Analyst
819,Senior Data Governance Analyst,Rogers Communications,"Temporarily Remote in Brampton, ON",,3.7,Data Analyst
820,newBusiness Analyst - Web3 (FT),Kitco Metals Inc,Remote,,3.7,Data Analyst
821,Member Growth Analyst,Girl Guides of Canada-Guides du Canada,Remote,"From $55,231 a year",4.5,Data Analyst
822,Data Analyst (Growth-Marketing),Game Hive Corporation,"Toronto, ON",,,Data Analyst
823,Business and Contract Analyst,Vancouver Coastal Health,"Vancouver, BC",$33.35–$47.94 an hour,3.7,Data Analyst
824,AltaGas - EAM Data Analyst,AltaGas,"Calgary, AB",,3.5,Data Analyst
825,Data Analyst (Growth-Marketing),Game Hive Corporation,"Toronto, ON",,,Data Analyst
826,Business and Contract Analyst,Vancouver Coastal Health,"Vancouver, BC",$33.35–$47.94 an hour,3.7,Data Analyst
827,AltaGas - EAM Data Analyst,AltaGas,"Calgary, AB",,3.5,Data Analyst
828,Business Analyst - 1 Year Contract,Scotiabank,"Toronto, ON",,3.9,Data Analyst
829,Sr. Data Analyst,Fusion Analytics,Canada,,,Data Analyst
830,newIT Analyst,DEG Services,"Vaughan, ON",,4.0,Data Analyst
831,Business Intelligence Analyst,Echelon Insurance,"Mississauga, ON",,3.0,Data Analyst
832,Business Analyst: Neurodiversity Hiring Initiative,Specialisterne Canada,"Remote in Greater Toronto Area, ON",,,Data Analyst
833,Business Intelligence Specialist,Canadian Security Intelligence Service,"Ottawa, ON","$84,050–$102,250 a year",4.4,Data Analyst
834,Business Analyst,Foxquilt,"Hybrid remote in Toronto, ON",,,Data Analyst
835,newBusiness Analyst & Hardware Coordinator,Teksavvy Solutions Inc.,"Chatham-Kent, ON",,3.5,Data Analyst
836,Customer Service Logistics Analyst / Replenishment Analyst,Procter & Gamble,"Hybrid remote in Toronto, ON",,4.1,Data Analyst
837,Actuarial Analyst,Ontario Mutual,"Waterloo, ON",,,Data Analyst
838,newSenior Financial Data Analyst,TS Imagine,"Montréal, QC",,,Data Analyst
839,newSystems Analyst,HarperCollins Publishers,"Toronto, ON",,3.9,Data Analyst
840,Data Analyst,CBRE,"Victoria, BC",,3.7,Data Analyst
841,newProgrammer Analyst,Spark Power Corp,"Oakville, ON",,2.8,Data Analyst
842,newSenior Business Analyst - Services Analytics,Angi,"Remote in Waterloo, ON+3 locations",,,Data Analyst
843,Business Analyst,Avmax Careers - Canada,"Calgary, AB",,2.8,Data Analyst
844,Customer Experience Analyst,CWD (Circus World Displays),"Niagara Falls, ON",,3.2,Data Analyst
845,business systems analyst,Save Max Real Estate Inc.,"Mississauga, ON",$40 an hour,,Data Analyst
846,"newClient Performance Analyst, Business Performance and Metrics",CIBC Mellon,"Toronto, ON",,3.8,Data Analyst
847,Senior Data Quality Assurance Analyst,Intact,"Toronto, ON+1 location",,3.8,Data Analyst
848,Business Analyst (FBO),Skyservice Business Aviation,"Mississauga, ON",,3.6,Data Analyst
849,Business Intelligence Business Analyst,"8x8, Inc.",Remote,,,Data Analyst
850,Business Analyst,SpringGage,"Toronto, ON",,,Data Analyst
851,IT Asset Management Analyst,"Foresters Financial Services, Inc.","Hybrid remote in Toronto, ON",,3.4,Data Analyst
852,Health Records Data Analyst - Health Records,Scarborough Health Network,"Toronto, ON",,4.0,Data Analyst
853,newBusiness Analyst - Limited Term,Ontario Tech University,Ontario,,4.4,Data Analyst
854,Analyst - Business Intelligence,TD Bank,"Toronto, ON",,3.8,Data Analyst
855,newBusiness Analyst,Soho Square Solutions,"Montréal, QC",$40–$80 an hour,,Data Analyst
856,newAccounting Analyst,Hypertec Administration Inc.,"Hybrid remote in Saint-Laurent, QC",,,Data Analyst
857,Senior Data Analyst,Trupanion,"Remote in Ottawa, ON+7 locations",,,Data Analyst
858,Business Information Analyst,Illumiti,Canada,,3.6,Data Analyst
859,PMO Analyst,BGRS,"Temporarily Remote in Toronto, ON",,3.4,Data Analyst
860,Data Enablement Analyst,ARC Resources Ltd,"Calgary, AB",,3.9,Data Analyst
861,Inventory Control Analyst,Progistix Solutions Inc,"North York, ON","From $55,000 a year",3.6,Data Analyst
862,Senior Business Analyst,TD Bank,"Toronto, ON",,3.8,Data Analyst
863,newIT Computer Systems Analyst 2022 - Remote,Canadian Musicians Co-operative,"Temporarily Remote in Barrie, ON",,4.3,Data Analyst
864,Digital Insights Analyst,GreenPeace,"Temporarily Remote in Toronto, ON","$53,399 a year",,Data Analyst
865,"Business Analyst, Growth Marketing",TextNow,Canada,,,Data Analyst
866,newSales Business Performance Analyst - Pet Nutrition,MARS,"Bolton, ON",,3.8,Data Analyst
867,Senior Business Intelligence Analyst,Kognitiv Corporation,"Toronto, ON",,,Data Analyst
868,"Senior Analyst, Fraud Analytics (Data Analyst)",Central 1 Credit Union,"Hybrid remote in Toronto, ON",,2.8,Data Analyst
869,Business/Data Analyst (data governance),Dawn InfoTek Inc.,"Toronto, ON",$60–$70 an hour,,Data Analyst
870,Graduate Trainee Assistant Analyst - GTA,Kinectrics,"Greater Toronto Area, ON",,3.4,Data Analyst
871,"Business Data Analyst - Financial Services, Omnia AI",Deloitte,Ontario,,4.0,Data Analyst
872,"ST-Analyst, Marketing, 4-12 months, 8+ months preferred",Apotex Inc.,"North York, ON",,3.9,Data Analyst
873,Cyber fraud analyst,Ubisoft,"Montréal, QC",,3.8,Data Analyst
874,Data Analyst – Airport Traffic and Forecast,ACI World,"Montréal, QC",,,Data Analyst
875,newBusiness Analyst,Alert Driving,"North York, ON",,3.0,Data Analyst
876,Analyst Revenue Management - Pricing,Porter Airlines Inc.,"Toronto, ON",,3.5,Data Analyst
877,Operations Analyst,Orion Health,"Toronto, ON",,3.2,Data Analyst
878,Credit Analyst (12 Month Contract),Credit Sesame,"Toronto, ON",,,Data Analyst
879,Business Systems Analyst I,PortfolioAid Inc.,"Toronto, ON","$55,000–$65,000 a year",3.0,Data Analyst
880,Data Warehouse Application Support Analyst,CAA Club Group,"Thornhill, ON",,2.9,Data Analyst
881,newPolicy Analyst,Government of Yukon,"Whitehorse, YT",,3.8,Data Analyst
882,Business Analyst,Penny AI,"Vancouver, BC","$65,000–$95,000 a year",,Data Analyst
883,Business Analyst,Carlton One Engagement,"Markham, ON","$70,000–$75,000 a year",,Data Analyst
884,Information Management Analyst,Community Living Toronto,"Toronto, ON","$70,560–$82,261 a year",,Data Analyst
885,newStrategic Analyst,City of Edmonton,"Edmonton, AB",$45.85–$57.93 an hour,3.7,Data Analyst
886,Analytics and Reporting Specialist - Resiliency (Power BI),BMO Financial Group,"Toronto, ON",,3.8,Data Analyst
887,Data Analyst,University of Victoria,"Victoria, BC","$61,935–$81,286 a year",4.2,Data Analyst
888,IT (information technology) business analyst,KAYZEN CLOUD SOLUTIONS,"Mississauga, ON",$41.60 an hour,,Data Analyst
889,Sr. Business Process Analyst,Canadian Tire Corporation,"Toronto, ON",,3.6,Data Analyst
890,Business Analyst,Motoinsight,"Toronto, ON",,4.5,Data Analyst
891,Logistics Business Analyst,Transplace,"Oakville, ON",,3.5,Data Analyst
892,Physical Security Analyst,BMO Financial Group,"Toronto, ON",,3.8,Data Analyst
893,newFarm Income Analyst,Government of Saskatchewan,"Regina, SK",$37.43–$46.91 an hour,3.8,Data Analyst
894,Business Data Analyst,Société Générale,"Montréal, QC",,3.8,Data Analyst
895,Market Data Operation and Engineering Analyst,Royal Bank of Canada,"Toronto, ON",,4.0,Data Analyst
896,Quality Control Analyst,IVC Vita Health,"Winnipeg, MB",$21–$22 an hour,,Data Analyst
897,Business Data Analyst,Healthcare of Ontario Pension Plan (HOOPP),"Hybrid remote in Toronto, ON",,3.8,Data Analyst
898,"Business Analyst - ETL, Data",AstraNorth,"Temporarily Remote in Toronto, ON","From $110,000 a year",,Data Analyst
899,Senior Business Analyst,Deloitte,"Toronto, ON",,4.0,Data Analyst
900,Facilities Analyst,Healthcare of Ontario Pension Plan (HOOPP),"Hybrid remote in Toronto, ON",,3.8,Data Analyst
901,Business Intelligence Analyst - Contractor (1year),TELUS,"Remote in Calgary, AB",,3.9,Data Analyst
902,IAM BA analyst,AstraNorth,"Toronto, ON+2 locations","From $65,000 a year",,Data Analyst
903,newNew Flyer - IT Business Analyst,NFI,"Winnipeg, MB",,,Data Analyst
904,Business Analyst - BPM/Process Automation,CAPCO,"Toronto, ON",,3.4,Data Analyst
905,GBM Onboarding Analyst - Fall 2022 Internship,Scotiabank,"Toronto, ON",,3.9,Data Analyst
906,HR Business Analyst - Hybrid Working Opportunity,McMaster University,"Hybrid remote in Hamilton, ON",,4.3,Data Analyst
907,"newSenior Analyst, Managed Account Solutions",National Bank of Canada,"Toronto, ON",,3.9,Data Analyst
908,"Consultant, Business Intelligence",CIBC,"Hybrid remote in Toronto, ON",,3.8,Data Analyst
909,Reinsurance Analyst (TAI),RGA,"Toronto, ON",,3.7,Data Analyst
910,Process and Business Analyst (Insurance),BMO Financial Group,"Toronto, ON",,3.8,Data Analyst
911,"Senior Business Systems Analyst, Data and Analytics",BMO Financial Group,"Toronto, ON",,3.8,Data Analyst
912,Business Analyst,MSi Corp (Bell Canada),"Toronto, ON+2 locations",,3.6,Data Analyst
913,Power BI Developer,PlanIT Search,"Toronto, ON","$80,000–$103,000 a year",2.8,Data Analyst
914,Market Data Analyst,eTeam Inc.,"Mississauga, ON",,,Data Analyst
915,Process and Business Analyst (Insurance),BMO Financial Group,"Toronto, ON",,3.8,Data Analyst
916,"Senior Business Systems Analyst, Data and Analytics",BMO Financial Group,"Toronto, ON",,3.8,Data Analyst
917,Business Analyst,MSi Corp (Bell Canada),"Toronto, ON+2 locations",,3.6,Data Analyst
918,Power BI Developer,PlanIT Search,"Toronto, ON","$80,000–$103,000 a year",2.8,Data Analyst
919,Market Data Analyst,eTeam Inc.,"Mississauga, ON",,,Data Analyst
920,newJr Procurement Analyst (FT),Equation Staffing Solutions.,"Winnipeg, MB",,4.7,Data Analyst
921,Global Portfolio & Data Support Analyst,Invesco,"Toronto, ON",,3.9,Data Analyst
922,Sr. Product Analyst,Canadian Tire Corporation,"Toronto, ON",,3.6,Data Analyst
923,Environmental Policy Analyst - Air Quality,Fraser Valley Regional District,"Chilliwack, BC",$37.74 an hour,,Data Analyst
924,"Analyst, ESG Reporting",Triovest Realty Advisors Inc.,"Remote in Toronto, ON",,3.7,Data Analyst
925,newJunior IT Analyst,PHSA,"Vancouver, BC",,3.1,Data Analyst
926,Business Analyst,Innovapost,"Ottawa, ON",,3.6,Data Analyst
927,newLabour Market Information Analyst,Workforce Development Board,"Hybrid remote in Peterborough, ON",$26.00–$27.50 an hour,,Data Analyst
928,newSupply Chain Analyst- 6 Month Contract,Griffith Foods,"Toronto, ON",,3.8,Data Analyst
929,"Communications and Change Analyst, Data in Action",Canadian Tire Corporation,"Toronto, ON",,3.6,Data Analyst
